=== COURSE SCHEDULES ===
Format: StudentID,ClassCode,CourseNumber,CourseDescription,Units,StartTime,EndTime,Days,Room,Instructor,Semester
2252001,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252001,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252001,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
2252002,7024,NSTP-CWTS 1,FOUNDATIONS OF SERVICE,3,13:30,14:30,MWF,D906,Prof. Santos,FIRST SEMESTER 2025-2026
2252002,9454,GSTS,SCIENCE TECHNOLOGY AND SOCIETY,3,09:30,10:30,TTHS,D504,Dr. Reyes,FIRST SEMESTER 2025-2026
2252002,9455,GENVI,ENVIRONMENTAL SCIENCE,3,09:30,10:30,MWF,D503,Prof. Cruz,FIRST SEMESTER 2025-2026
2252002,9456,CFE 103,CATHOLIC FOUNDATION OF MISSION,3,13:30,14:30,TTHS,D503,Fr. Garcia,FIRST SEMESTER 2025-2026
2252002,9457,IT 211,REQUIREMENTS ANALYSIS AND MODELING,3,10:30,11:30,MWF,D511,Prof. Dela Cruz,FIRST SEMESTER 2025-2026
2252002,9458A,IT 212,DATA STRUCTURES (LEC),2,14:30,15:30,TF,D513,Dr. Villanueva,FIRST SEMESTER 2025-2026
2252002,9458B,IT 212L,DATA STRUCTURES (LAB),1,16:00,17:30,TF,D522,Mr. Mendoza,FIRST SEMESTER 2025-2026
2252002,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252002,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252002,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
2252003,7024,NSTP-CWTS 1,FOUNDATIONS OF SERVICE,3,13:30,14:30,MWF,D906,Prof. Santos,FIRST SEMESTER 2025-2026
2252003,9454,GSTS,SCIENCE TECHNOLOGY AND SOCIETY,3,09:30,10:30,TTHS,D504,Dr. Reyes,FIRST SEMESTER 2025-2026
2252003,9455,GENVI,ENVIRONMENTAL SCIENCE,3,09:30,10:30,MWF,D503,Prof. Cruz,FIRST SEMESTER 2025-2026
2252003,9456,CFE 103,CATHOLIC FOUNDATION OF MISSION,3,13:30,14:30,TTHS,D503,Fr. Garcia,FIRST SEMESTER 2025-2026
2252003,9457,IT 211,REQUIREMENTS ANALYSIS AND MODELING,3,10:30,11:30,MWF,D511,Prof. Dela Cruz,FIRST SEMESTER 2025-2026
2252003,9458A,IT 212,DATA STRUCTURES (LEC),2,14:30,15:30,TF,D513,Dr. Villanueva,FIRST SEMESTER 2025-2026
2252003,9458B,IT 212L,DATA STRUCTURES (LAB),1,16:00,17:30,TF,D522,Mr. Mendoza,FIRST SEMESTER 2025-2026
2252003,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252003,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252003,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
2252004,7024,NSTP-CWTS 1,FOUNDATIONS OF SERVICE,3,13:30,14:30,MWF,D906,Prof. Santos,FIRST SEMESTER 2025-2026
2252004,9454,GSTS,SCIENCE TECHNOLOGY AND SOCIETY,3,09:30,10:30,TTHS,D504,Dr. Reyes,FIRST SEMESTER 2025-2026
2252004,9455,GENVI,ENVIRONMENTAL SCIENCE,3,09:30,10:30,MWF,D503,Prof. Cruz,FIRST SEMESTER 2025-2026
2252004,9456,CFE 103,CATHOLIC FOUNDATION OF MISSION,3,13:30,14:30,TTHS,D503,Fr. Garcia,FIRST SEMESTER 2025-2026
2252004,9457,IT 211,REQUIREMENTS ANALYSIS AND MODELING,3,10:30,11:30,MWF,D511,Prof. Dela Cruz,FIRST SEMESTER 2025-2026
2252004,9458A,IT 212,DATA STRUCTURES (LEC),2,14:30,15:30,TF,D513,Dr. Villanueva,FIRST SEMESTER 2025-2026
2252004,9458B,IT 212L,DATA STRUCTURES (LAB),1,16:00,17:30,TF,D522,Mr. Mendoza,FIRST SEMESTER 2025-2026
2252004,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252004,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252004,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
2252005,7024,NSTP-CWTS 1,FOUNDATIONS OF SERVICE,3,13:30,14:30,MWF,D906,Prof. Santos,FIRST SEMESTER 2025-2026
2252005,9454,GSTS,SCIENCE TECHNOLOGY AND SOCIETY,3,09:30,10:30,TTHS,D504,Dr. Reyes,FIRST SEMESTER 2025-2026
2252005,9455,GENVI,ENVIRONMENTAL SCIENCE,3,09:30,10:30,MWF,D503,Prof. Cruz,FIRST SEMESTER 2025-2026
2252005,9456,CFE 103,CATHOLIC FOUNDATION OF MISSION,3,13:30,14:30,TTHS,D503,Fr. Garcia,FIRST SEMESTER 2025-2026
2252005,9457,IT 211,REQUIREMENTS ANALYSIS AND MODELING,3,10:30,11:30,MWF,D511,Prof. Dela Cruz,FIRST SEMESTER 2025-2026
2252005,9458A,IT 212,DATA STRUCTURES (LEC),2,14:30,15:30,TF,D513,Dr. Villanueva,FIRST SEMESTER 2025-2026
2252005,9458B,IT 212L,DATA STRUCTURES (LAB),1,16:00,17:30,TF,D522,Mr. Mendoza,FIRST SEMESTER 2025-2026
2252005,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252005,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252005,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
2252006,7024,NSTP-CWTS 1,FOUNDATIONS OF SERVICE,3,13:30,14:30,MWF,D906,Prof. Santos,FIRST SEMESTER 2025-2026
2252006,9454,GSTS,SCIENCE TECHNOLOGY AND SOCIETY,3,09:30,10:30,TTHS,D504,Dr. Reyes,FIRST SEMESTER 2025-2026
2252006,9455,GENVI,ENVIRONMENTAL SCIENCE,3,09:30,10:30,MWF,D503,Prof. Cruz,FIRST SEMESTER 2025-2026
2252006,9456,CFE 103,CATHOLIC FOUNDATION OF MISSION,3,13:30,14:30,TTHS,D503,Fr. Garcia,FIRST SEMESTER 2025-2026
2252006,9457,IT 211,REQUIREMENTS ANALYSIS AND MODELING,3,10:30,11:30,MWF,D511,Prof. Dela Cruz,FIRST SEMESTER 2025-2026
2252006,9458A,IT 212,DATA STRUCTURES (LEC),2,14:30,15:30,TF,D513,Dr. Villanueva,FIRST SEMESTER 2025-2026
2252006,9458B,IT 212L,DATA STRUCTURES (LAB),1,16:00,17:30,TF,D522,Mr. Mendoza,FIRST SEMESTER 2025-2026
2252006,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252006,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252006,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
2252007,7024,NSTP-CWTS 1,FOUNDATIONS OF SERVICE,3,13:30,14:30,MWF,D906,Prof. Santos,FIRST SEMESTER 2025-2026
2252007,9454,GSTS,SCIENCE TECHNOLOGY AND SOCIETY,3,09:30,10:30,TTHS,D504,Dr. Reyes,FIRST SEMESTER 2025-2026
2252007,9455,GENVI,ENVIRONMENTAL SCIENCE,3,09:30,10:30,MWF,D503,Prof. Cruz,FIRST SEMESTER 2025-2026
2252007,9456,CFE 103,CATHOLIC FOUNDATION OF MISSION,3,13:30,14:30,TTHS,D503,Fr. Garcia,FIRST SEMESTER 2025-2026
2252007,9457,IT 211,REQUIREMENTS ANALYSIS AND MODELING,3,10:30,11:30,MWF,D511,Prof. Dela Cruz,FIRST SEMESTER 2025-2026
2252007,9458A,IT 212,DATA STRUCTURES (LEC),2,14:30,15:30,TF,D513,Dr. Villanueva,FIRST SEMESTER 2025-2026
2252007,9458B,IT 212L,DATA STRUCTURES (LAB),1,16:00,17:30,TF,D522,Mr. Mendoza,FIRST SEMESTER 2025-2026
2252007,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252007,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252007,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
2252008,7024,NSTP-CWTS 1,FOUNDATIONS OF SERVICE,3,13:30,14:30,MWF,D906,Prof. Santos,FIRST SEMESTER 2025-2026
2252008,9454,GSTS,SCIENCE TECHNOLOGY AND SOCIETY,3,09:30,10:30,TTHS,D504,Dr. Reyes,FIRST SEMESTER 2025-2026
2252008,9455,GENVI,ENVIRONMENTAL SCIENCE,3,09:30,10:30,MWF,D503,Prof. Cruz,FIRST SEMESTER 2025-2026
2252008,9456,CFE 103,CATHOLIC FOUNDATION OF MISSION,3,13:30,14:30,TTHS,D503,Fr. Garcia,FIRST SEMESTER 2025-2026
2252008,9457,IT 211,REQUIREMENTS ANALYSIS AND MODELING,3,10:30,11:30,MWF,D511,Prof. Dela Cruz,FIRST SEMESTER 2025-2026
2252008,9458A,IT 212,DATA STRUCTURES (LEC),2,14:30,15:30,TF,D513,Dr. Villanueva,FIRST SEMESTER 2025-2026
2252008,9458B,IT 212L,DATA STRUCTURES (LAB),1,16:00,17:30,TF,D522,Mr. Mendoza,FIRST SEMESTER 2025-2026
2252008,9459A,IT 213,NETWORK FUNDAMENTALS (LEC),2,08:30,09:30,TF,D513,Prof. Aquino,FIRST SEMESTER 2025-2026
2252008,9459B,IT 213L,NETWORK FUNDAMENTALS (LAB),1,11:30,13:00,TF,D528,Mr. Torres,FIRST SEMESTER 2025-2026
2252008,9547,FIT OA,PHYSICAL ACTIVITY TOWARDS HEALTH AND FITNESS (OUTDOOR AND ADVENTURE ACTIVITIES),2,15:30,17:30,TH,D221,Coach Rivera,FIRST SEMESTER 2025-2026
